Timestamp,Central Plant Chiller 1 Chiller Efficiency (kW/ton) (1)2024,Central Plant Chiller 1 Chiller Efficiency (kW/ton) (2)2022,Central Plant Chiller 2 Chiller Efficiency (kW/ton) (1),Central Plant Chiller 2 Chiller Efficiency (kW/ton) (2),Central Plant Chiller 3 Chiller Efficiency (kW/ton) (1),Central Plant Chiller 3 Chiller Efficiency (kW/ton) (2),Central Plant CHW Plant Chilled Water Efficiency (C) (1),Central Plant CHW Plant Chilled Water Efficiency (C) (2),Central Plant CHW Plant Chilled Water Tons of Refrigeration (1),Central Plant CHW Plant Chilled Water Tons of Refrigeration (2),Central Plant CHW Plant Chiller Stage (1),Central Plant CHW Plant Chiller Stage (2),Central Plant CHW Plant Outside Air Temp (1),Central Plant CHW Plant Outside Air Temp (2),Central Plant CHW Plant Total Power (1),Central Plant CHW Plant Total Power (2),Central Plant Condenser Loop Wet Bulb Temp (1),Central Plant Condenser Loop Wet Bulb Temp (2)
2024-03-23T02:00:00-07:00 Los_Angeles,0_kW/Ton,0_kW/Ton,0.25666771332422894_kW/Ton,0.8081582387288412_kW/Ton,0_kW/Ton,0_kW/Ton,0.28523395509058486kW/ton,3.9239886007478635kW/ton,461.2164001464844_Ton,53.203090031941734_Ton,AAAAANAB,AAAB,58.15484619140625°F,59.28045908610026°F,378.9105224609375kW,209.6724090576172kW,54.28124491373698°F,55.03009796142578°F
2024-03-23T03:00:00-07:00 Los_Angeles,0_kW/Ton,0_kW/Ton,0.21637173990408579_kW/Ton,0.7886578639348348_kW/Ton,0_kW/Ton,0_kW/Ton,0.3152956604976916kW/ton,3.8123842278350746kW/ton,292.8919270833333_Ton,54.89683469136556_Ton,AAABAkAA,AAAB,58.15484619140625°F,58.441427866617836°F,238.28887939453125kW,209.59564208984375kW,54.40389823913574°F,54.90166982014974°F
2024-03-23T04:00:00-07:00 Los_Angeles,0_kW/Ton,0_kW/Ton,0_kW/Ton,0.4639224261045456_kW/Ton,0_kW/Ton,0_kW/Ton,0kW/ton,1.8629704867118315kW/ton,0_Ton,133.29749870300293_Ton,AAAA,AAAB,57.837554931640625°F,57.91215515136719°F,4.152121067047119kW,230.54525756835938kW,54.151101430257164°F,54.83094151814779°F
2024-03-23T05:00:00-07:00 Los_Angeles,0_kW/Ton,0_kW/Ton,0_kW/Ton,0.4842093785603841_kW/Ton,0_kW/Ton,0_kW/Ton,0kW/ton,1.813814819717593kW/ton,0_Ton,125.54536310831706_Ton,AAAA,AAAB,57.73708724975586°F,57.85647010803223°F,4.154543876647949kW,228.45506286621094kW,53.93774159749349°F,54.78087870279948°F
2024-03-23T06:00:00-07:00 Los_Angeles,0_kW/Ton,0_kW/Ton,0.4105560779571533_kW/Ton,0.3926198184490204_kW/Ton,0_kW/Ton,0_kW/Ton,0.5517328661807926kW/ton,1.4690702163948002kW/ton,87.58633168538411_Ton,165.78973261515299_Ton,AAAAAAAB,AAAB,57.43856239318848°F,56.96034622192383°F,70.55640411376953kW,229.96444702148438kW,53.68525250752767°F,54.16854159037272°F
2024-03-23T07:00:00-07:00 Los_Angeles,0_kW/Ton,0_kW/Ton,0.49091144899527234_kW/Ton,0.30570776760578156_kW/Ton,0_kW/Ton,0_kW/Ton,0.6703852619560067kW/ton,0.9796738653421314kW/ton,105.4210573832194_Ton,247.4533259073893_Ton,AAAB,AAAB,57.63490994771322°F,57.79313977559408°F,72.07526397705078kW,254.96112060546875kW,54.24240748087565°F,54.7611395517985°F
2024-03-23T08:00:00-07:00 Los_Angeles,0_kW/Ton,0_kW/Ton,0.4431233803431193_kW/Ton,0.31787267824014026_kW/Ton,0_kW/Ton,0_kW/Ton,0.6116857664504808kW/ton,0.9253213469242864kW/ton,117.76632817586263_Ton,272.57640584309894_Ton,AAAB,AAAB,57.34675216674805°F,62.40220260620117°F,73.81468200683594kW,258.45623779296875kW,54.54120635986328°F,55.95110003153483°F
2024-03-23T09:00:00-07:00 Los_Angeles,0_kW/Ton,0_kW/Ton,0.3501586566368739_kW/Ton,0.28251296778519946_kW/Ton,0_kW/Ton,0_kW/Ton,0.48706023616721766kW/ton,0.700266350305991kW/ton,165.1591364542643_Ton,394.3319346110026_Ton,AAAB,AAAB,57.1745491027832°F,66.82941182454427°F,82.376220703125kW,290.7088317871094kW,55.00910186767578°F,57.26921526590983°F
2024-03-23T10:00:00-07:00 Los_Angeles,0_kW/Ton,0_kW/Ton,0.3676368445158005_kW/Ton,0.2733558565378189_kW/Ton,0_kW/Ton,0_kW/Ton,0.5427231686793269kW/ton,0.5975563293171255kW/ton,150.2921371459961_Ton,509.2136942545573_Ton,AAAB,AAAB,57.57000605265299°F,70.69928359985352°F,81.83306121826172kW,314.8394470214844kW,55.59082221984863°F,58.33749961853027°F
2024-03-23T11:00:00-07:00 Los_Angeles,0_kW/Ton,0_kW/Ton,0.3744354844093323_kW/Ton,0.2911090552806854_kW/Ton,0_kW/Ton,0_kW/Ton,0.5687891787959065kW/ton,0.5460648737655kW/ton,150.47826639811197_Ton,639.8879699707031_Ton,AAAB,AAAB,59.62436485290527°F,74.94031270345052°F,92.56163787841797kW,369.18927001953125kW,57.23566118876139°F,59.160265604654946°F
2024-03-23T12:00:00-07:00 Los_Angeles,0_kW/Ton,0_kW/Ton,0.29260117808977765_kW/Ton,0.32152436673641205_kW/Ton,0_kW/Ton,0_kW/Ton,0.47520299298615504kW/ton,0.5504050264956087kW/ton,194.94458770751953_Ton,711.7924194335938_Ton,AAAB,AAAB,60.19435119628906°F,74.5044542948405°F,96.1737060546875kW,415.0389709472656kW,55.236260732014976°F,59.41151555379232°F
2024-03-23T13:00:00-07:00 Los_Angeles,0_kW/Ton,0_kW/Ton,0.2758782555659612_kW/Ton,0.3128621578216553_kW/Ton,0_kW/Ton,0_kW/Ton,0.426047434138594kW/ton,0.5386552600645952kW/ton,192.64510854085287_Ton,725.6754557291666_Ton,AAAB,AAAB,61.65342775980631°F,74.53669865926106°F,84.44915008544922kW,412.1060485839844kW,53.71871376037598°F,58.795854568481445°F
2024-03-23T14:00:00-07:00 Los_Angeles,0_kW/Ton,0_kW/Ton,0.2553359493613243_kW/Ton,0.32315219442049664_kW/Ton,0_kW/Ton,0_kW/Ton,0.36822305043707687kW/ton,0.5330966502523304kW/ton,220.66820271809897_Ton,773.0359802246094_Ton,AAAB,AAAB,61.4732723236084°F,76.19927597045898°F,83.9412841796875kW,433.8531188964844kW,52.16307767232259°F,58.27962303161621°F
2024-03-23T15:00:00-07:00 Los_Angeles,0_kW/Ton,0_kW/Ton,0.24873958776394525_kW/Ton,0.31818628311157227_kW/Ton,0_kW/Ton,0_kW/Ton,0.34720881377483503kW/ton,0.5387907443061856kW/ton,250.2354532877604_Ton,742.2577616373698_Ton,AAAB,AAAB,61.20705986022949°F,73.57809193929036°F,90.664794921875kW,422.8867492675781kW,51.56786855061849°F,57.77965990702311°F
2024-03-23T16:00:00-07:00 Los_Angeles,0_kW/Ton,0_kW/Ton,0.2561228374640147_kW/Ton,0.2998489091793696_kW/Ton,0_kW/Ton,0_kW/Ton,0.3560337727099681kW/ton,0.53608873522634kW/ton,237.9853515625_Ton,692.2754720052084_Ton,AAAB,AAAB,61.177408854166664°F,70.27669016520183°F,88.87654876708984kW,390.51617431640625kW,51.537879943847656°F,57.932543436686196°F
2024-03-23T17:00:00-07:00 Los_Angeles,0_kW/Ton,0_kW/Ton,0.2747363895177841_kW/Ton,0.29271939396858215_kW/Ton,0_kW/Ton,0_kW/Ton,0.37553099788980404kW/ton,0.6245603809749359kW/ton,207.85768127441406_Ton,505.8684590657552_Ton,AAAB,AAAB,60.66643269856771°F,68.14529673258464°F,82.17889404296875kW,354.3443603515625kW,51.36017417907715°F,57.4196720123291°F
2024-03-23T18:00:00-07:00 Los_Angeles,0_kW/Ton,0_kW/Ton,0.33752911786238354_kW/Ton,0.3214658151070277_kW/Ton,0_kW/Ton,0_kW/Ton,0.4535175618381264kW/ton,0.8213825895201481kW/ton,160.28988647460938_Ton,330.38416544596356_Ton,AAAB,AAAB,58.85091590881348°F,65.87217076619466°F,74.7320785522461kW,282.3599853515625kW,50.96870358784994°F,56.990343729654946°F
2024-03-23T19:00:00-07:00 Los_Angeles,0_kW/Ton,0_kW/Ton,0.4479076415300369_kW/Ton,0.33924655119578045_kW/Ton,0_kW/Ton,0_kW/Ton,0.6232516670647065kW/ton,1.063955584674653kW/ton,103.4304707845052_Ton,228.19976043701172_Ton,AAAB,AAAB,57.903120040893555°F,62.59058380126953°F,69.79412841796875kW,252.73915100097656kW,50.36341158548991°F,55.74652417500814°F
2024-03-23T20:00:00-07:00 Los_Angeles,0_kW/Ton,0_kW/Ton,0.06623013317584991_kW/Ton,0.39192229012648266_kW/Ton,0_kW/Ton,0_kW/Ton,0.0932631524909559kW/ton,1.3322674197320412kW/ton,17.990923563639324_Ton,176.8858439127604_Ton,AAABAAAA,AAAB,57.23365910847982°F,60.07228342692057°F,60.404048919677734kW,241.58445739746094kW,49.532477060953774°F,55.20919672648112°F
2024-03-23T21:00:00-07:00 Los_Angeles,0_kW/Ton,0_kW/Ton,0_kW/Ton,0.5057459423939387_kW/Ton,0_kW/Ton,0_kW/Ton,0kW/ton,2.2571165674486457kW/ton,0_Ton,106.7268435160319_Ton,AAAA,AAAB,56.57205454508463°F,58.72377268473307°F,4.114099979400635kW,227.159423828125kW,49.19116465250651°F,55.19738006591797°F
2024-03-23T22:00:00-07:00 Los_Angeles,0_kW/Ton,0_kW/Ton,0_kW/Ton,0.7865243355433146_kW/Ton,0_kW/Ton,0_kW/Ton,0kW/ton,3.739685713727861kW/ton,0_Ton,57.00716972351074_Ton,AAAA,AAAB,56.47191619873047°F,57.58551597595215°F,4.134915828704834kW,214.01702880859375kW,49.032968521118164°F,55.131765365600586°F
2024-03-23T23:00:00-07:00 Los_Angeles,0_kW/Ton,0_kW/Ton,0_kW/Ton,0.7905841569105784_kW/Ton,0_kW/Ton,0_kW/Ton,0kW/ton,4.090370320401135kW/ton,0_Ton,51.39003562927246_Ton,AAAA,AAAB,55.81303850809733°F,56.64982986450195°F,4.119035720825195kW,207.58990478515625kW,48.75026766459147°F,54.355564753214516°F
2024-03-24T00:00:00-07:00 Los_Angeles,0_kW/Ton,0_kW/Ton,0_kW/Ton,0.8084718386332194_kW/Ton,0_kW/Ton,0_kW/Ton,0kW/ton,4.139395116978106kW/ton,0_Ton,49.993298848470054_Ton,AAAA,AAAB,54.891282399495445°F,56.592777252197266°F,4.132887840270996kW,205.13803100585938kW,48.542256673177086°F,54.237632751464844°F
2024-03-24T01:00:00-07:00 Los_Angeles,0_kW/Ton,0_kW/Ton,0_kW/Ton,0.7011904716491699_kW/Ton,0_kW/Ton,0_kW/Ton,0kW/ton,3.565717286288565kW/ton,0_Ton,57.76563390096029_Ton,AAAA,AAAB,54.28728357950846°F,56.336753845214844°F,4.137977600097656kW,206.80313110351562kW,48.26666768391927°F,54.057212829589844°F
2024-03-24T02:00:00-07:00 Los_Angeles,0_kW/Ton,0_kW/Ton,0_kW/Ton,0.7275403539339701_kW/Ton,0_kW/Ton,0_kW/Ton,0kW/ton,3.83287393091873kW/ton,0_Ton,53.23987325032552_Ton,AAAA,AAAB,53.98419189453125°F,55.70921325683594°F,4.031911849975586kW,204.86849975585938kW,47.55149777730306°F,53.50519371032715°F
